V 1
N FB-N01-L::LEVEL
D 2018 09 27 11 30 --- 4 D
N FB-N15-L::LEVEL
D 2018 09 27 11 05 15.526 0 D
D 2018 09 27 11 10 15.522 0 D
D 2018 09 27 11 15 15.530 0 D
D 2018 09 27 11 20 15.526 0 D
D 2018 09 27 11 25 15.530 0 D
D 2018 09 27 11 30 15.530 0 D
N FB-N16le-L::LEVEL
D 2018 09 27 11 05 13.304 0 D
D 2018 09 27 11 10 13.304 0 D
D 2018 09 27 11 15 13.305 0 D
D 2018 09 27 11 20 --- 4 D
D 2018 09 27 11 25 --- 4 D
D 2018 09 27 11 30 --- 4 D
N FB-N16ri-L::LEVEL
D 2018 09 27 11 05 13.376 0 D
D 2018 09 27 11 10 13.375 0 D
D 2018 09 27 11 15 13.376 0 D
D 2018 09 27 11 20 --- 4 D
D 2018 09 27 11 25 --- 4 D
D 2018 09 27 11 30 --- 4 D
N FB-N17-L::LEVEL
D 2018 09 27 11 05 11.296 0 D
D 2018 09 27 11 10 11.296 0 D
D 2018 09 27 11 15 11.291 0 D
D 2018 09 27 11 20 11.298 0 D
D 2018 09 27 11 25 11.299 0 D
D 2018 09 27 11 30 11.306 0 D
N FB-N17-Q::FLOW
D 2018 09 27 11 05 1.690 0 D
D 2018 09 27 11 10 1.690 0 D
D 2018 09 27 11 15 1.620 0 D
D 2018 09 27 11 20 1.710 0 D
D 2018 09 27 11 25 1.730 0 D
D 2018 09 27 11 30 1.830 0 D
N FB-N19-L::LEVEL
D 2018 09 27 11 05 62.046 0 D
D 2018 09 27 11 10 62.046 0 D
D 2018 09 27 11 15 62.047 0 D
D 2018 09 27 11 20 62.045 0 D
D 2018 09 27 11 25 62.045 0 D
D 2018 09 27 11 30 62.043 0 D
N FB-N19-Q::FLOW
D 2018 09 27 11 05 0.063 0 D
D 2018 09 27 11 10 0.062 0 D
D 2018 09 27 11 15 0.061 0 D
D 2018 09 27 11 20 0.060 0 D
D 2018 09 27 11 25 0.060 0 D
D 2018 09 27 11 30 0.059 0 D
N FB-N20-L::LEVEL
D 2018 09 27 11 05 48.958 0 D
D 2018 09 27 11 10 48.957 0 D
D 2018 09 27 11 15 48.956 0 D
D 2018 09 27 11 20 48.949 0 D
D 2018 09 27 11 25 48.953 0 D
D 2018 09 27 11 30 48.950 0 D
N FB-N20-Q::FLOW
D 2018 09 27 11 05 0.096 0 D
D 2018 09 27 11 10 0.096 0 D
D 2018 09 27 11 15 0.094 0 D
D 2018 09 27 11 20 0.088 0 D
D 2018 09 27 11 25 0.091 0 D
D 2018 09 27 11 30 0.088 0 D
N FB-N23-L::LEVEL
D 2018 09 27 11 05 --- 4 D
D 2018 09 27 11 10 --- 4 D
D 2018 09 27 11 15 --- 4 D
D 2018 09 27 11 20 --- 4 D
D 2018 09 27 11 25 --- 4 D
D 2018 09 27 11 30 --- 4 D
N FB-N25-L::LEVEL
D 2018 09 27 11 05 54.006 0 D
D 2018 09 27 11 10 54.005 0 D
D 2018 09 27 11 15 54.006 0 D
D 2018 09 27 11 20 54.004 0 D
D 2018 09 27 11 25 54.004 0 D
D 2018 09 27 11 30 54.004 0 D
N FB-N25-Q::FLOW
D 2018 09 27 11 05 0.065 0 D
D 2018 09 27 11 10 0.064 0 D
D 2018 09 27 11 15 0.065 0 D
D 2018 09 27 11 20 0.063 0 D
D 2018 09 27 11 25 0.063 0 D
D 2018 09 27 11 30 0.063 0 D
N FB-U08ze-L::LEVEL
D 2018 09 27 11 05 16.768 0 D
D 2018 09 27 11 10 16.768 0 D
D 2018 09 27 11 15 16.772 0 D
D 2018 09 27 11 20 16.770 0 D
D 2018 09 27 11 25 16.770 0 D
D 2018 09 27 11 30 16.773 0 D
N FB-U08ze-Q::FLOW
D 2018 09 27 11 05 4.880 0 D
D 2018 09 27 11 10 4.880 0 D
D 2018 09 27 11 15 4.910 0 D
D 2018 09 27 11 20 4.900 0 D
D 2018 09 27 11 25 4.900 0 D
D 2018 09 27 11 30 4.930 0 D
N FB-C12-R::RAIN
D 2018 09 27 11 05 0.0 0 D
D 2018 09 27 11 10 0.0 0 D
D 2018 09 27 11 15 0.0 0 D
D 2018 09 27 11 20 0.0 0 D
D 2018 09 27 11 25 0.0 0 D
D 2018 09 27 11 30 0.0 0 D
N FB-U24-R::RAIN
D 2018 09 27 11 05 0.0 0 D
D 2018 09 27 11 10 0.0 0 D
D 2018 09 27 11 15 0.0 0 D
D 2018 09 27 11 20 0.0 0 D
D 2018 09 27 11 25 0.0 0 D
D 2018 09 27 11 30 0.0 0 D
N FB-P02-R::RAIN
D 2018 09 27 11 05 0.0 0 D
D 2018 09 27 11 10 0.0 0 D
D 2018 09 27 11 15 0.0 0 D
D 2018 09 27 11 20 0.0 0 D
D 2018 09 27 11 25 0.0 0 D
D 2018 09 27 11 30 0.0 0 D
N FB-C04-R::RAIN
